Date,Inventory,Processing,Order,Predict
03-01-00,1469.25,1438.359985,1478,1455.219971
04-01-00,1455.219971,1397.430054,1455.219971,1399.420044
05-01-00,1399.420044,1377.680054,1413.27002,1402.109985
06-01-00,1402.109985,1392.099976,1411.900024,1403.449951
07-01-00,1403.449951,1400.72998,1441.469971,1441.469971
10-01-00,1441.469971,1441.469971,1464.359985,1457.599976
11-01-00,1457.599976,1434.420044,1458.660034,1438.560059
12-01-00,1438.560059,1427.079956,1442.599976,1432.25
13-01-00,1432.25,1432.25,1454.199951,1449.680054
14-01-00,1449.680054,1449.680054,1473,1465.150024
18-01-00,1465.150024,1451.300049,1465.150024,1455.140015
19-01-00,1455.140015,1448.680054,1461.390015,1455.900024
20-01-00,1455.900024,1438.540039,1465.709961,1445.569946
21-01-00,1445.569946,1439.599976,1453.180054,1441.359985
24-01-00,1441.359985,1395.420044,1454.089966,1401.530029
25-01-00,1401.530029,1388.48999,1414.26001,1410.030029
26-01-00,1410.030029,1400.160034,1412.72998,1404.089966
27-01-00,1404.089966,1370.98999,1418.859985,1398.560059
28-01-00,1398.560059,1356.199951,1398.560059,1360.160034
31-01-00,1360.160034,1350.140015,1394.47998,1394.459961
01-02-00,1394.459961,1384.790039,1412.48999,1409.280029
02-02-00,1409.280029,1403.48999,1420.609985,1409.119995
03-02-00,1409.119995,1398.52002,1425.780029,1424.969971
04-02-00,1424.969971,1420.630005,1435.910034,1424.369995
07-02-00,1424.369995,1413.329956,1427.150024,1424.23999
08-02-00,1424.23999,1424.23999,1441.829956,1441.719971
09-02-00,1441.719971,1411.650024,1444.550049,1411.709961
10-02-00,1411.699951,1406.430054,1422.099976,1416.829956
11-02-00,1416.829956,1378.890015,1416.829956,1387.119995
14-02-00,1387.119995,1380.530029,1394.930054,1389.939941
15-02-00,1389.939941,1376.25,1407.719971,1402.050049
16-02-00,1402.050049,1385.579956,1404.550049,1387.670044
17-02-00,1387.670044,1380.069946,1399.880005,1388.26001
18-02-00,1388.26001,1345.319946,1388.589966,1346.089966
22-02-00,1346.089966,1331.880005,1358.109985,1352.170044
23-02-00,1352.170044,1342.439941,1370.109985,1360.689941
24-02-00,1360.689941,1329.880005,1364.800049,1353.430054
25-02-00,1353.430054,1329.150024,1362.140015,1333.359985
28-02-00,1333.359985,1325.069946,1360.819946,1348.050049
29-02-00,1348.050049,1348.050049,1369.630005,1366.420044
01-03-00,1366.420044,1366.420044,1383.459961,1379.189941
02-03-00,1379.189941,1370.349976,1386.560059,1381.76001
03-03-00,1381.76001,1381.76001,1410.880005,1409.170044
06-03-00,1409.170044,1384.75,1409.73999,1391.280029
07-03-00,1391.280029,1349.98999,1399.209961,1355.619995
08-03-00,1355.619995,1346.619995,1373.790039,1366.699951
